id,store_id,crawl_store_id,"fw_type","smservername"
956,567711,158,"OLD_FW",NULL
957,926169,155,"OLD_FW",NULL
958,594563,158,"OLD_FW",NULL
959,643819,158,"OLD_FW",NULL
960,567703,158,"OLD_FW",NULL
961,567704,158,"OLD_FW",NULL
962,567706,158,"OLD_FW",NULL
963,567707,158,"OLD_FW",NULL
965,567709,158,"OLD_FW",NULL
966,567708,158,"OLD_FW",NULL
967,567710,158,"OLD_FW",NULL
968,567711,158,"OLD_FW",NULL
969,313372,158,"OLD_FW",NULL
970,288406,158,"OLD_FW",NULL
971,245134,158,"OLD_FW",NULL
972,245132,158,"OLD_FW",NULL
973,245131,158,"OLD_FW",NULL
974,643827,158,"OLD_FW",NULL
975,650223,158,"OLD_FW",NULL
976,245129,158,"OLD_FW",NULL
977,245128,158,"OLD_FW",NULL
978,245127,158,"OLD_FW",NULL
979,245126,158,"OLD_FW",NULL
980,245126,151,"OLD_FW",NULL
981,240898,158,"OLD_FW",NULL
982,239032,158,"OLD_FW",NULL
983,239025,158,"OLD_FW",NULL
984,650863,158,"OLD_FW",NULL
985,926169,160,"OLD_FW",NULL
986,926169,161,"OLD_FW",NULL
